행정구역	취급품목	정책내용	기간	장소	정보일자	비고
양천구	투명페트병, 알루미늄 캔(무인)	양천구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	상시 이용가능	첨부된 링크에서 위치 확인	2024.01	https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.do?cbIdx=356&searchKey2=%EC%9E%90%EC%B9%98%ED%96%89%EC%A0%95%EA%B3%BC&cdDepstep=040200&bcIdx=283124
양천구	투명페트병(무인)	양천구 투명페트병 무인 회수기(쓰샘) 운영 투명페트병 1개당 ⇆ 5~10포인트, 3000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 라벨과 뚜껑을 제거하여 제출 ⦁ 리턴 앱 다운로드 후 이용 ⦁ 리턴 앱에서 사용 가능 여부 확인 후 방문 권장 ⦁ 하루 최대 30개 적립 가능 ⦁ 500ml 이하 = 5포인트, 2L 이상 = 10포인트	상시 이용가능	첨부된 링크에서 위치 확인	2024.01	https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.do?cbIdx=356&searchKey2=%EC%9E%90%EC%B9%98%ED%96%89%EC%A0%95%EA%B3%BC&cdDepstep=040200&bcIdx=283125
양천구	종이팩(무인)	양천구 종이팩 무인 회수기 운영 종이팩 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출  ⦁ 멸균팩 수거가능 ⦁ 오늘의 분리수거 앱 다운로드 후 이용	상시 이용가능	첨부된 링크에서 위치 확인	2024.04	https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.do?cbIdx=279&bcIdx=283120
영등포구	종이팩	종이팩 50개 당 (또는 투명페트병과 혼합하여 50개)  ⇔ 종량제봉투(10ℓ) 1장 ⦁ 멸균팩 수거가능  ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁1일, 1인 최대3장까지 한정 제공	"2024년3월14일~ 11월28일(8월 한달 미운영), 매주 목요일, 15:00 ~ 19:00

※기상 상태에 따라 미운영 또는 예산 상황에 따라 조기 종료될 수 있음"	첨부된 링크에서 운영거점 위치확인	2024.03	https://www.ydp.go.kr/www/selectBbsNttView.do?key=2848&bbsNo=40&nttNo=383211
영등포구	투명페트병	투명페트병 30개 당 (또는 투명페트병과 혼합하여 50개)  ⇔ 종량제봉투(10ℓ) 1장 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁1일, 1인 최대3장까지 한정 제공	"2024년3월14일~ 11월28일(8월 한달 미운영), 매주 목요일, 15:00 ~ 19:00

※기상 상태에 따라 미운영 또는 예산 상황에 따라 조기 종료될 수 있음"	첨부된 링크에서 운영거점 위치확인	2024.03	https://www.ydp.go.kr/www/selectBbsNttView.do?key=2848&bbsNo=40&nttNo=383212
영등포구	폐건전지	폐건전지 10개 당 ⇔ 종량제봉투(10ℓ) 1장 ⦁1일, 1인 최대3장까지 한정 제공	"2024년3월14일~ 11월28일(8월 한달 미운영), 매주 목요일, 15:00 ~ 19:00

※기상 상태에 따라 미운영 또는 예산 상황에 따라 조기 종료될 수 있음"	첨부된 링크에서 운영거점 위치확인	2024.03	https://www.ydp.go.kr/www/selectBbsNttView.do?key=2848&bbsNo=40&nttNo=383213
용산구	투명폐트병	투명페트병(500ml 이상) 20개 당 ⇔ 종량제봉투(10ℓ) 1개 ⦁ 내용물을 비우고 물로 헹궈 건조 후 라벨을 제거하여 제출 ⦁ 대용량 봉투에 20개씩 담아 제출하기 ⦁ 깨끗하지 않거나 조건 미달시 교환불가 ⦁ 1일, 1인 3장까지 교환가능	예산 소진시까지	동 주민센터	2024.07	투명페트병 교환사업 이라고 명칭
은평구	종이팩	종이팩 1kg 당 ⇔ 화장지 2롤 ⦁ 수집량 안내(1kg) 200ml = 100개, 500ml= 55개, 1000ml = 35개 ⦁ 멸균팩 수거가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 	상시운영	동 주민센터	2023.10.	이미지로 확인하기 https://www.ep.go.kr/DATA/bbs/42/20231019013350386_SnU9.jpg
은평구	폐건전지	폐건전지 20개 당(또는 보조배터리 1개) ⇔ 새건전지 1세트(2개입) ⦁ 건전지 규격 무관	상시운영	동 주민센터	2023.10.	이미지로 확인하기 https://www.ep.go.kr/DATA/bbs/42/20231019013350386_SnU9.jpg
은평구	AI 그린 모아모아	⦁ AI 그린모아모아 사업 소개 : 기존 그린 모아모아 시간제약으로 인해(운영시간, 요일 등) 참여하지 못하는 주민들의 불편함을 해소하기 위해 언제든 이용이 가능한 AI 그린 모아모아를 운영 ⦁ 수거품목 : 투명PET, 플라스틱 병, 캔 류, 종이팩 ⦁ 포인트 지급방식 : 일 최대 500포인트 (월 최대 5,000포인트), '마이신한포인트' 지급(신한은행 가입필요) ⦁ 자세한 사항은 첨부된 링크 참고	6:00 ~ 23:00 (매주 월요일 미운영)	1. 복합문화시설 건립부지 임시 공영주차장(응암동 95-1) 2. 은평평화공원(녹번동 153-31)	구청메뉴	https://www.ep.go.kr/www/contents.do?key=4467
은평구	그린 모아모아	⦁ 그린 모아모아 사업 소개 : 지정시간, 지정장소에서 주민들이 직접 자원순환을 하는 활동 수거품목 배출 시 일반종량제 봉투(10ℓ) 1개  제공 ⦁ 수거품목 :  투명PET, 플라스틱, 비닐, 종이, 종이팩, 캔 류, 스티로폼, 유리병, 아이스 팩 ⦁ 우천 등 기상 악화 시 미운영('은평알림톡'으로 안내) ⦁ 하절기(폭염·장마) 8월 미운영 ⦁ 동절기(한파·강설) 12월~1월 미운영	매주 목, 금 17:00 ~ 20:00	동별 운영 요일이 상이하여 홈페이지에서 '모아모아 마을지도'에서 위치 확인	구청메뉴	https://www.ep.go.kr/www/contents.do?key=4466
은평구	그린 모아모아 상시거점	⦁ 그린 모아모아 상시거점 사업 소개 : 은평시니어 클럽 어르신 일자리와 연계하여 진행하는 자원순환 활동 ⦁ 수거품목 배출 시 일반종량제 봉투(10ℓ) 1개  제공 ⦁ 수거품목 : 투명PET, 플라스틱, 비닐, 흰색 스티로폼, 종이, 종이팩, 캔 류, 유리병 ⦁ 우천 등 기상 악화시 미운영('은평알림톡'으로 안내) ⦁ 하반기(폭염 및 장마) 미운영	평일 14:00 ~ 18:00 중 3시간 (동별 일정 상이)	동 주민센터 (진관동 제외)	구청답변	https://blog.naver.com/eunpyeonggu/223461351602
종로구	종이팩	종이팩 1kg 당 ⇔ 화장지 1롤 ⦁ 내용물을 비워 펼친 후 물로 헹궈 건조 후 제출	연중	동 주민센터	2024.08	
종로구	투명페트병	투명페트병 20개 당 ⇔ 종량제봉투(10ℓ) 1개 ⦁ 내용물을 비우고 라벨 제거 및 압착하여 제출 ⦁ 규격(용량), 뚜껑유무 무관	연중	동 주민센터	2024.08	
종로구	폐건전지	폐건전지 30개 당 ⇔ 새 건전지 1세트(2개입)	연중	동 주민센터	2024.08	
종로구	투명페트병(무인)	종로구 투명페트병 무인 회수기(네프론) 운영 투명페트병 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장 ⦁ 수거함 위치 확인 https://www.superbin.co.kr/map?tab=search&search=%EC%A2%85%EB%A1%9C%EA%B5%AC	상시 이용가능	부암동 주민센터, 세븐일레븐 마로니에공원점, 올림픽기념국민생활관, 종로구민회관, 		
종로구	투명페트병, 알루미늄 캔(무인)	종로구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장 ⦁ 수거함 위치 확인 https://www.superbin.co.kr/map?tab=search&search=%EC%A2%85%EB%A1%9C%EA%B5%AC	상시 이용가능	KB국민카드, 상명대 부속여고,  종로구청, 종로타워 1층		
중구	투명페트병	투명페트병 20개 당  ⇔ 종량제봉투(10ℓ) 1장 ⦁ 규격무관  ⦁ 내용물을 비우고 라벨 제거 및 압착하여 제출 ⦁ 1일, 1인 3장까지 교환가능	1. 동 주민센터 : 매주 목 9:00 ~ 12:00 (단, 필동주민센터는 매주 목 14:00 ~ 17:00, 신당동주민센터는 매주 목 16:00 ~ 17:30, 명동주민센터는 매주 화 14:00 ~ 16:00, 매주 목 9:00 ~ 13:00) 2. 새롬 쓰레기 연구소 : 평일 9:00 ~ 18:00		2024.05	
중구	종이팩	종이팩 1kg 당 ⇔ 종량제봉투(10ℓ) 1장 ⦁멸균팩 수거가능(재활용 가능 표시가 있으면 수거 가능) ⦁ 내용물을 비워 펼친 후 물로 헹궈 건조히여 끈 등으로 묶어서 제출 	1. 동 주민센터 : 매주 목 9:00 ~ 12:00 (단, 필동주민센터는 매주 목 14:00 ~ 17:00, 신당동주민센터는 매주 목 16:00 ~ 17:30, 명동주민센터는 매주 화 14:00 ~ 16:00, 매주 목 9:00 ~ 13:00) 2. 새롬 쓰레기 연구소 : 평일 9:00 ~ 18:01		2024.05	재활용품 종량제 교환사업 이라 명칭
중구	폐건전지	폐건전지 20개 당 ⇔ 종량제봉투(10ℓ) 1장 ⦁ 건전지 규격 무관(보조배터리 가능)	1. 동 주민센터 : 매주 목 9:00 ~ 12:00 (단, 필동주민센터는 매주 목 14:00 ~ 17:00, 신당동주민센터는 매주 목 16:00 ~ 17:30, 명동주민센터는 매주 화 14:00 ~ 16:00, 매주 목 9:00 ~ 13:00) 2. 새롬 쓰레기 연구소 : 평일 9:00 ~ 18:02		2024.05	
중구	캔	캔 류 20개 당 ⇔ 종량제봉투(10ℓ) 1장 ⦁ 규격무관(철, 알루미늄 등) ⦁ 내용물을 비우고 물로 헹궈 압착 후 제출	1. 동 주민센터 : 매주 목 9:00 ~ 12:00 (단, 필동주민센터는 매주 목 14:00 ~ 17:00, 신당동주민센터는 매주 목 16:00 ~ 17:30, 명동주민센터는 매주 화 14:00 ~ 16:00, 매주 목 9:00 ~ 13:00) 2. 새롬 쓰레기 연구소 : 평일 9:00 ~ 18:03		2024.05	
중구	유리병	유리병 20개 당 ⇔ 종량제봉투(10ℓ) 1장 ⦁ 규격무관(공병, 잡병 등)  ⦁ 내용물을 비우고 물로 헹궈 라벨제거 후 훼손되지 않게 제출	1. 동 주민센터 : 매주 목 9:00 ~ 12:00 (단, 필동주민센터는 매주 목 14:00 ~ 17:00, 신당동주민센터는 매주 목 16:00 ~ 17:30, 명동주민센터는 매주 화 14:00 ~ 16:00, 매주 목 9:00 ~ 13:00) 2. 새롬 쓰레기 연구소 : 평일 9:00 ~ 18:04		2024.05	
중구	폐비닐	페비닐 1kg 당 ⇔ 종량제봉투(10ℓ) 1장  ⦁ 색상, 종류 무관 ⦁ 내용물을 비워 깨끗이 헹군 후 투명비닐에 담아 제출	1. 동 주민센터 : 매주 목 9:00 ~ 12:00 (단, 필동주민센터는 매주 목 14:00 ~ 17:00, 신당동주민센터는 매주 목 16:00 ~ 17:30, 명동주민센터는 매주 화 14:00 ~ 16:00, 매주 목 9:00 ~ 13:00) 2. 새롬 쓰레기 연구소 : 평일 9:00 ~ 18:05		2024.05	
중랑구	종이팩(무인)	중랑구 종이팩 무인 회수기 운영 종이팩 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출  ⦁ 포인트로 우유 등의 상품으로 교환가능 ⦁ 오늘의 분리수거 앱 다운로드 후 이용	상시 이용가능	첨부된 링크에서 회수기 위치확인	2023.12	https://dong.jungnang.go.kr/dong/bbs/view/B0000002/31106?menuNo=500012
중랑구	투명페트병, 알루미늄 캔(무인)	중랑구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	상시 이용가능	첨부된 링크에서 회수기 위치확인	2023.12	https://dong.jungnang.go.kr/dong/bbs/view/B0000002/31106?menuNo=500012
